"Payment information was successfully saved","As informações de pagamento foram salvas com sucesso."
"Shipping method is not Frenet","Método de envio não é o da Frenet"
"Payment Information","Informações de Pagamento"
"PagBank Information","Informações do PagBank"
"Payment Information not filled by the Seller yet.","Informações de Pagamento ainda não preenchidas pelo vendedor."
"PagBank Account Information","Informações da Conta PagBank"
"Authorize Sales","Autorizar Vendas"
"In order for us to send the money to your account, you need to authorize:","Para que possamos enviar o dinheiro para sua conta, você precisa autorizar:"
"Or Enter Manually","Ou Digite Manualmente"
"You can get your code from your PagBank account by <a href='%1'>clicking here</a>.","Você pode obter seu código da sua conta PagBank ao <a href='%1'>clicar aqui</a>."
"Save Payment","Salvar informação"
"Don't have an account yet?","Ainda não tem uma conta?"
"We use PagBank solution for receiving your transactions.","Utilizamos a solução do PagBank para receber suas transações."
"Discover the solutions that PagBank offers you:","Descubra as soluções que o PagBank oferece a você:"
"The receipt of your sales will be automatic.","O recebimento das suas vendas será automático."
"You control your withdrawals directly in PagBank.","Você controla seus saques diretamente no PagBank."
"Create your Account","Crie sua conta"
"App for Webkul","App para Webkul"
"To capture your seller's data, you can request an oAuth permission. Configure the APP.","Para capturar os dados do seu vendedor, você pode solicitar permissão oAuth. Configure o aplicativo."
"App Redirect Uri","App Redirect Uri"
"App Client Id - Sandbox","App Client Id - Sandbox"
"App Redirect Uri - Sandbox","App Redirect Uri - Sandbox"
"Marketplace PagBank Profile","Marketplace Perfil do PagBank"
